Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA ARMANI CODE EDP 75ML + 15ML TS (P25),2PCE,8823510,3.61427E+12,0,0.0,Red,True,BAZK3
AA ARMANI MY WAY EDP 30ML + 10ML PS (P25),2PC,8823239,3.61427E+12,0,0.0,Red,True,BAZF4
AA ARMANI MY WAY EDP 50ML + 10ML PS (P24)***,2PCE,8823254,3.61427E+12,0,0.0,Red,False,
AA ARMANI SI 100ml EDP 3 PCE SET (S23),SET,8788671,3.61427E+12,0,0.0,Red,False,
AA ARMANI SI EDP 30ML + 10ML PS (P25),2PCE,8823270,3.61427E+12,0,0.0,Red,True,BAZG3
AA ARMANI SI EDP 50ML + 10ML PS (P25),2PCE,8823247,3.61427E+12,0,0.0,Red,True,BAZP4
AA ARMANI SI PASSIONE EDP 50ML + 10ML PS (P25),2PCE,8823262,3.61427E+12,4,4.0,Green,True,BAZG5
AA ARMANI SI TRIO 3X15ML EDP (P24),TRIO2024,8823288,3.61427E+12,0,0.0,Red,False,BAZK4
AA ARMANI SI TRIO 3X15ML EDP (P25),TRIO,9539081,3.61427E+12,0,0.0,Red,True,
AA AZZARO  WANTED BY NIGHT 20,50ML,1002278,9.9E+12,0,0.0,Red,False,
AA AZZARO WANTED GIRL 19,30ML,9920695,3.3515E+12,0,0.0,Red,False,BAZM3
AA BURBERRY GODDESS EDP 50ML &amp; BODY LOTION 2PC SET (P25),2PC,8820938,3.61631E+12,2,2.0,Green,True,BAZN3
AA CAROLINA HERRERA GOOD GIRL EDP 50ML + BODY MIST + PURSE SPRAY (P25),3PCE,8821944,8.41106E+12,0,0.0,Red,True,BAZO4
AA CAROLINA HERRERA LA BOMBA EDP 50ML + BODY LOTION + PURSE SPRAY (P25),3PCE,9521410,8.41106E+12,0,0.0,Red,True,
AA CH GOOD GIRL EDP 50ML 3 PCE SET (P23),3 PCE,8793887,8.41106E+12,0,0.0,Red,False,BAZO4
AA CHLOE NOMADE EDP 50ML &amp; BODY LOTION 2PC SET (P25),SET,8820698,3.61631E+12,0,0.0,Red,True,BAZI3
AA CHLOE SIGNATURE EDP 50ML+ BODY LOTION 2 PCE SET (P25),SET,8820672,3.61631E+12,0,0.0,Red,True,bazi2
AA CHLOE SIGNATURE INTENSE EDP 50ML+ BODY LOTION 2 PCE SET (P24),SET,8820680,3.61631E+12,0,0.0,Red,True,BAZJ3
AA CK ETERNITY FOR HER 50ML EDP 3PC SET (P23),50ML,8793200,3.6163E+12,0,0.0,Red,False,BAZN4
AA CK ETERNITY WOMAN 50ML EDP 3PC SET (P24)***,50ML,8820730,3.61631E+12,0,0.0,Red,False,BAZN4
AA CK EUPHORIA  WOMAN EDP 50ML &amp; BODY LOTION 2PC SET (P24)***,50ML,8820748,3.61631E+12,0,0.0,Red,False,BAZN5
AA CK EVERYONE 50ML EDT 2PC SET P22,2PC,8756322,3.6163E+12,2,2.0,Green,False,BAZO3
AA COACH LOVE EDP 50ML + 7.5ML TRAVEL SPRAY (P24)***,2PC,8822082,3.38646E+12,0,0.0,Red,False,BAZN4
