Product Name,Pack,Code,Trade,Stock Level,Stock Value,Supplied Qty,Avg Supplied Qty Per Week,Avg Supplied Value Per Week,Weeks of Stock (supplied),Supplied Inventory Ratio
ALBERTO BALSAM SHAMPOO APPLE 300ML,300ML,8849366,0.74,84,62.16,48,12,8.88,7,1.14
ALBERTO BALSAM SHAMPOO COCONUT 300ML,300ML,8849374,0.74,0,0,0,0,0,0,0
ALBERTO BALSAM SHAMPOO COCONUT***,350ML,9930819,0.74,108,79.92,168,42,31.08,2.57,1.51
ALBERTO BALSAM SHAMPOO RASPBERRY 300ML,300ML,8849382,0.74,300,222,120,30,22.2,10,0.8
ALBERTO BALSAM SHAMPOO TEA TREE 300ML,300ML,8849390,0.74,79,58.46,71,17.75,13.13,4.45,1.8
ALBERTO BALSAM STYLING GEL ULTRA STRONG,200ML,9587858,0.74,0,0,150,37.5,27.75,0,0
ALBERTO BALSAM STYLING GEL WET LOOK,200ML,9587775,0.74,25,18.5,60,15,11.1,1.67,1.09
ALDARA 5% CREAM SACHETS,12,2544765,47.63,31,1476.53,28,7,333.41,4.43,0.88
ALENDRONIC ACID TABS 70MG,4,1119197,0.88,4762,4190.56,1572,393,342.6,12.12,0.32
ALFACALCIDOL 0.25mcg CAPSULES,30,1084706,0.89,33,29.37,22,5.5,5.06,6,1.1
ALFACALCIDOL 0.5mcg CAPSULES,30,1098110,1.84,18,33.12,11,2.75,4.71,6.55,0.79
ALFACALCIDOL 1mcg CAPSULES,30,700229,2.19,30,65.7,16,4,7.88,7.5,0.52
ALFLOREX ORIGINAL 30 CAPSULES,30,8813321,13.04,11,143.44,7,1.75,22.82,6.29,0.5
ALFUZOSIN 2.5MG TABLETS,60,1143049,4.32,14,60.48,22,5.5,22.44,2.55,1.69
ALFUZOSIN XL 10MG TABLETS,30,5012604,0.2,321,64.2,99,24.75,4.95,12.97,0.27
ALGESAL TUBE 50G (P),50G,204693,1.62,12,19.44,26,6.5,10.53,1.85,1
ALIEN 15ML EDP (R SED OFFER),A only,8695983,21.67,34,736.78,4,1,21.67,34,0.11
ALIEN BODY CREAM 200ML,200ML,9493859,36.11,3,108.33,0,0,0,3,0
ALIEN BODY CREAM 200ML**,200ML,9870403,36.11,2,72.22,4,1,36.11,2,1
