Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA GHOST PURITY 30ML EDT GIFT SET,30ML,8711756,5050456003389,0,0,Red,FALSE,BAZN3
AA GHOST SWEETHEART 30ML EDT + 10ML PS (P24),2PCE,8822645,,0,0,Red,FALSE,
AA GHOST SWEETHEART 30ML SET (P22),,8760159,5050456008926,0,0,Red,FALSE,BAZO3
AA GHOST SWEETHEART 50ML + GHOST 50ML EDT DUO (P25),2X50ML,8822637,5050456008551,0,0,Red,TRUE,BAZN3
AA GHOST THE FRAGRANCE 5ML + LIP OIL GIFT BAUBLE (P24),BAUBLE,8831703,5050456008476,0,0,Red,FALSE,BAZL3
AA GIORGIO BEV HILLS 90ML EDT 2 PCE SET (P24),SET,8825143,719346296595,0,0,Red,FALSE,BAZI3
AA GOOD GIRL 50ML EDP  + BL 75ML (P22),50ML,9887555,8411061046203,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,TRUE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,BAZK5
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,BAZG3
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,BAZI5
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,BAZP5
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,BAZK3
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
